Endpoint slug,Type,Use case,Scenario,Arguments,Request Body,Returns,Description,Data sensitivity,summary,API Label,responseOK,security,CRUDL model
/service/verification/consentrecord/{consentRecordId},GET,UC-C-PIC-A-003,"3.1, 1.2",,,"ConsentRecord, Revision",READ - Reads a consent record by its ID.,TRUE,,serviceVerificationConsentRecordRead,,consumer,
Recording consent (giving/withdrawing),,,,,,,All services need to specify the Individual ID as an HTTP header.,FALSE,,,,,
/service/individual/record/data-agreement/{dataAgreementId}/,POST,UC-C-PIC-I-002,1.2,"individualId*, revisionId",,"ConsentRecord, Revision","CREATE - For a particular Individual and a particular Agreement, create a new Consent Record pointing to the current Revision of a given Agreement. Individual ID supplied as HTTP header.",TRUE,,serviceIndividualConsentRecordCreate,,individual,
/service/individual/record/consent-record/draft/,POST,UC-C-PIC-I-002,1.2,"individualId*, dataAgreementId*, revisionId",,"ConsentRecord, Signature",CREATE - Gets a DRAFT (unsaved) ConsentRecord and Signature objects (without a PK) for a given dataAgreementId.,TRUE,,serviceIndividualConsentRecordDraftCreate,,individual,
/service/individual/record/consent-record/,POST,UC-C-PIC-I-002,1.2,,"ConsentRecord*, Signature*","ConsentRecord, Revision, Signature",CREATE - Creates a paired ConsentRecord and Signature object. Returns the same objects with the PK defined.,TRUE,,serviceIndividualConsentRecordSignatureCreate,,individual,
/service/individual/record/consent-record/,GET,UC-C-PIC-I-001,,,,ConsentRecord<List>,LIST - Fetches all current unambiguous consent records stored for Individual ID. Individual ID supplied as HTTP header.,TRUE,,serviceIndividualConsentRecordList,,individual,
/service/individual/record/consent-record/{consentRecordId}/,PUT,UC-C-PIC-I-003,,,ConsentRecord*,"ConsentRecord, Revision","UPDATE* - Update a particular Consent Record, generating a new Revision object. Individual ID supplied as HTTP header. Note that updating a signed Consent Record invalidates its signature. Field set subject to update is restricted.",TRUE,,serviceIndividualConsentRecordUpdate,,individual,ConsentRecord
/service/individual/record/consent-record/{consentRecordId}/signature/,POST,UC-Post-Partum-001-Registration_PostPartum_and_InfantCare,,,Signature*,Signature,CREATE - Creates and returns a Signature object for the Consent Record with a payload ready for signing. Signature object fieldset is restricted.,TRUE,,serviceIndividualSignatureCreate,,individual,Signature
/service/individual/record/consent-record/{consentRecordId}/signature/,PUT,UC-Post-Partum-001-Registration_PostPartum_and_InfantCare,,,Signature*,Signature,UPDATE - Updates a Signature object for a Consent Record. This is used to add a signature to an existing unsigned Signature object. Consent BB is responsible for updating the Consent Record state. Signature object fieldset is restricted.,TRUE,,serviceIndividualSignatureUpdate,,individual,Signature
/service/individual/record/data-agreement/{dataAgreementId}/all/,GET,UC-C-PIC-I-001,,,,ConsentRecord<List>,LIST - Fetches all consent records given to a particular agreement. Individual ID supplied as HTTP header.,TRUE,,serviceIndividualDataAgreementConsentRecordList,,individual,ConsentRecord
/service/individual/record/data-agreement/{dataAgreementId}/,GET,UC-C-PIC-I-001,,,,ConsentRecord,READ - Individual ID supplied as HTTP header. Fetches the current ConsentRecord for an Agreement. There should be one unambiguous ConsentRecord for an Individual and an Agreement.,TRUE,,serviceIndividualConsentRecordRead,,individual,
/service/individual/record/,DELETE,UC-C-PIC-I-003,,,,,"DELETE - Cascading delete operation for Right To Be Forgotten, deletes all Consent Records that shall not be retained and have a ""forgettable"" Agreement. May also delete an unsigned Consent Record, for instance in cases where the user exits the signing process. Individual ID supplied as HTTP header.",TRUE,,serviceIndividualConsentRecordDeleteAll,,individual,
,,,,,,,,,,,,,
API tag: auditor,,,,,,,,,,,,,
/audit/consentrecords/,GET,UC-C-PIC-AT-003,,,,ConsentRecord<List>,LIST - fetch ConsentRecord objects,,,auditConsentRecordList,,,
/audit/consentrecord/{consentRecordId}/,GET,,,,,ConsentRecord,READ,,,auditConsentRecordRead,,,
/audit/data-agreements/,POST,"UC-C-PIC-AT-001, UC-C-PIC-AT-003",,,,DataAgreement<List>,LIST - fetch all Agreements stored in the system.,,,auditDataAgreementList,,,
/audit/data-agreement/{dataAgreementId}/,GET,"UC-C-PIC-AT-001, UC-C-PIC-AT-003",,,,DataAgreement,READ - fetch a single Agreement.,,,auditDataAgreementRead,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Questions / notes,,,,,,,,,,,,,
"Sensitive/Personal data - Make Individual ID stored as some kind of anonymous token in HTTP headers, session state or like-wise. We should avoid spilling over individually identifiable data in HTTP server logs etc.",,,,,,,,,,,,,
List filters and pagination should be universal for all of GovStack.,,,,,,,,,,,,,
"Should we have CRUD for ""Individual""? Delete and update operations are dangerous / meaningless.",,,,,,,,,,,,,
TODO,,,,,,,,,,,,,
Query parameters should declare types,,,,,,,,,,,,,
Specify the restricted fields that can be created/modified in schemas.,,,,,,,,,,,,,
